timestamp,session_id,user_id,method,endpoint,status_code,response_time_ms,request_size,response_size,ip_address,user_agent,country,device,request_body,label
2026-08-17T08:47:58.770401+00:00,22d40b4e,anon,POST,/login,200,281.01,48,177,207.177.179.37,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile Safari,IN,desktop,"{""username"": ""alice"", ""password"": ""password123""} ",normal
2026-08-17T08:47:58.896331+00:00,22d40b4e,alice,GET,/cart,200,113.1,0,128547,207.177.179.37,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15) Safari/17.0,CN,tablet, ,normal
2026-08-17T08:47:59.020627+00:00,22d40b4e,alice,GET,/products/2,200,6.41,0,78,207.177.179.37,Mozilla/5.0 (Linux; Android 13) Chrome/119.0 Mobile,RU,tablet, ,normal
2026-08-17T08:47:59.162348+00:00,22d40b4e,alice,GET,/cart,200,34.41,0,128547,207.177.179.37,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile Safari,FR,tablet, ,normal
2026-08-17T08:47:59.331481+00:00,22d40b4e,alice,GET,/products/3,200,7.65,0,85,207.177.179.37,Mozilla/5.0 (X11; Linux x86_64) Firefox/121.0,CN,tablet, ,normal
2026-08-17T08:47:59.416651+00:00,22d40b4e,alice,GET,/users/2,200,9.84,0,73,207.177.179.37,Mozilla/5.0 (Linux; Android 13) Chrome/119.0 Mobile,CN,desktop, ,normal
2026-08-17T08:47:59.789523+00:00,bdce154f,anon,POST,/login,200,271.43,46,174,43.248.87.173,Mozilla/5.0 (X11; Linux x86_64) Firefox/121.0,IN,desktop,"{""username"": ""bob"", ""password"": ""password123""} ",normal
2026-08-17T08:47:59.831806+00:00,bdce154f,bob,GET,/users/3,200,10.17,0,69,43.248.87.173,Mozilla/5.0 (X11; Linux x86_64) Firefox/121.0,US,tablet, ,normal
2026-08-17T08:48:00.096429+00:00,bdce154f,bob,GET,/products/4,200,6.48,0,86,43.248.87.173,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15) Safari/17.0,NG,mobile, ,normal
2026-08-17T08:48:00.375004+00:00,bdce154f,bob,GET,/cart,200,36.63,0,132272,43.248.87.173,Mozilla/5.0 (Linux; Android 13) Chrome/119.0 Mobile,US,tablet, ,normal
2026-08-17T08:48:00.732907+00:00,bdce154f,bob,GET,/cart,200,78.6,0,132272,43.248.87.173,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0,GB,tablet, ,normal
