iter	MultiClass
0	1.523186295
1	1.269717508
2	1.075965843
3	0.9317238323
4	0.8196564573
5	0.7155009298
6	0.6356540247
7	0.5694067805
8	0.5137089224
9	0.4666260937
10	0.425683338
11	0.3898534454
12	0.3579864681
13	0.3331590294
14	0.3067041298
15	0.2830343331
16	0.261302592
17	0.241981121
18	0.2253307104
19	0.2098248779
20	0.1961323248
21	0.1834157488
22	0.1724635807
23	0.1622124833
24	0.1515214806
25	0.1433169568
26	0.1353896347
27	0.1288714348
28	0.1229191677
29	0.1175735942
30	0.1117744818
31	0.1065771071
32	0.1022811013
33	0.09957362613
34	0.095654565
35	0.09179618557
36	0.08866552666
37	0.08545941256
38	0.08264269676
39	0.08053271385
40	0.07839782542
41	0.07572935021
42	0.07338601134
43	0.0717261805
44	0.0701840105
45	0.06841855583
46	0.06701837383
47	0.06594107412
48	0.06461348865
49	0.06363269723
50	0.06266958208
51	0.06184818605
52	0.0606970952
53	0.0597128311
54	0.05890073662
55	0.05819318437
56	0.05717650849
57	0.05594270923
58	0.05489837353
59	0.05387900689
60	0.05313009007
61	0.05250704137
62	0.0518442686
63	0.05120247825
64	0.0505482777
65	0.05011558761
66	0.04957646216
67	0.04906874511
68	0.04868374183
69	0.04845562889
70	0.04783469671
71	0.04750592834
72	0.04705193172
73	0.04659395601
74	0.04616693649
75	0.04580086243
76	0.04551315479
77	0.04497851026
78	0.0446711114
79	0.04415890974
80	0.04350238206
81	0.04311264423
82	0.04290177115
83	0.04250249242
84	0.04232974984
85	0.04192696356
86	0.04163896982
87	0.04127304458
88	0.04085696907
89	0.04036079349
90	0.04013562407
91	0.03981207237
92	0.03963016902
93	0.03938025377
94	0.03913703212
95	0.03882327018
96	0.03845511902
97	0.03822575808
98	0.0378784209
99	0.03768624083
100	0.03743019275
101	0.03722555479
102	0.03688686266
103	0.03640653288
104	0.03606421291
105	0.03589977013
106	0.03564641084
107	0.03521343944
108	0.03502877349
109	0.03480247564
110	0.03464240423
111	0.03442295811
112	0.03425585918
113	0.03403425174
114	0.03387669544
115	0.033673931
116	0.03346323658
117	0.03313845561
118	0.03293628341
119	0.03273568834
120	0.03258615044
121	0.03238352654
122	0.03217722027
123	0.03188341226
124	0.03173424185
125	0.03151314531
126	0.0313687397
127	0.03124164391
128	0.03107092476
129	0.03085796601
130	0.03070198643
131	0.03057728666
132	0.03042598623
133	0.03030478544
134	0.03014244616
135	0.03006342571
136	0.02991128545
137	0.02984206415
